"sex","age","region","placesize","depress","income","ls","marital","workab"
"FEMALE",78,"Malopolskie","URBAN 500,000 AND OVER",10,1500,"PLEASED","MARRIED","NO"
"MALE",26,"Podlaskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","YES"
"FEMALE",70,"Zachodnio-pomorskie","URBAN 100,000-200,000",7,2000,"PLEASED","WIDOWED","NO"
"FEMALE",64,"Lodzkie","URBAN 100,000-200,000",9,960,"MIXED","WIDOWED","NO"
"MALE",44,"Opolskie","RURAL AREAS",5,500,"PLEASED","MARRIED","NO"
"MALE",77,"Swietokrzyskie","RURAL AREAS",8,700,"PLEASED","WIDOWED","NO"
"MALE",50,"Opolskie","RURAL AREAS",12,1250,"MIXED","MARRIED","NO"
"MALE",59,"Podkarpackie","URBAN 100,000-200,000",7,1500,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",36,"Dolnoslaskie","URBAN 200,000-500,000",0,3000,"DELIGHTED","MARRIED","NO"
"MALE",18,"Warminsko-mazurskie","RURAL AREAS",1,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",77,"Lodzkie","RURAL AREAS",9,1000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",39,"Podkarpackie","RURAL AREAS",4,500,"MIXED","WIDOWED","NO"
"MALE",34,"Malopolskie","URBAN 500,000 AND OVER",0,6800,"PLEASED","SINGLE","NO"
"MALE",23,"Lodzkie","URBAN 500,000 AND OVER",6,1200,"MIXED","SINGLE","NO"
"MALE",47,"Swietokrzyskie","URBAN 100,000-200,000",5,-8,"MOSTLY DISSATISFIED","DIVORCED","NO"
"MALE",42,"Slaskie","URBAN 20,000-100,000",7,1100,"MIXED","MARRIED","NO"
"MALE",56,"Lodzkie","URBAN 100,000-200,000",0,2800,"PLEASED","MARRIED","NO"
"FEMALE",17,"Wielkopolskie","RURAL AREAS",1,NA,"MIXED","SINGLE",NA
"MALE",44,"Opolskie","RURAL AREAS",6,-8,"TERRIBLE","DIVORCED","NO"
"MALE",20,"Dolnoslaskie","URBAN 100,000-200,000",2,-8,"MIXED","SINGLE",NA
"FEMALE",65,"Lodzkie","RURAL AREAS",9,826,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",51,"Malopolskie","RURAL AREAS",0,1500,"PLEASED","MARRIED","NO"
"MALE",74,"Lubuskie","RURAL AREAS",7,1540,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",18,"Swietokrzyskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",21,"Slaskie","URBAN 100,000-200,000",0,1100,"PLEASED","SINGLE","NO"
"MALE",46,"Wielkopolskie","RURAL AREAS",2,1200,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",49,"Lubelskie","URBAN 20,000-100,000",1,-8,"PLEASED","MARRIED","NO"
"FEMALE",64,"Dolnoslaskie","RURAL AREAS",14,-8,"MIXED","MARRIED","NO"
"FEMALE",64,"Warminsko-mazurskie","URBAN 200,000-500,000",19,600,"MOSTLY DISSATISFIED","DIVORCED","NO"
"FEMALE",26,"Wielkopolskie","RURAL AREAS",0,2000,"MIXED","MARRIED","NO"
"FEMALE",46,"Dolnoslaskie","URBAN BELOW 20,000",4,NA,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",20,"Kujawsko-pomorskie","URBAN 100,000-200,000",0,NA,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",34,"Dolnoslaskie","RURAL AREAS",5,3000,"MIXED","MARRIED","NO"
"MALE",33,"Warminsko-mazurskie","URBAN 200,000-500,000",NA,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",76,"Kujawsko-pomorskie","RURAL AREAS",10,-8,"MOSTLY SATISFIED","DIVORCED","NO"
"FEMALE",71,"Podkarpackie","RURAL AREAS",11,1100,"MIXED","MARRIED","NO"
"MALE",63,"Pomorskie","URBAN BELOW 20,000",5,1900,"MIXED","MARRIED","NO"
"MALE",58,"Slaskie","RURAL AREAS",1,900,"PLEASED","MARRIED","NO"
"FEMALE",46,"Lodzkie","RURAL AREAS",7,1000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",84,"Pomorskie","RURAL AREAS",15,600,"MIXED","MARRIED","NO"
"FEMALE",46,"Pomorskie","URBAN BELOW 20,000",1,-8,"DELIGHTED","MARRIED","NO"
"FEMALE",51,"Wielkopolskie","RURAL AREAS",11,620,"PLEASED","MARRIED","NO"
"FEMALE",40,"Mazowieckie","RURAL AREAS",2,800,"MIXED","MARRIED","NO"
"MALE",68,"Lodzkie","RURAL AREAS",13,2300,"PLEASED","MARRIED","NO"
"FEMALE",57,"Slaskie","URBAN 200,000-500,000",5,2000,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",57,"Malopolskie","RURAL AREAS",15,780,"MIXED","MARRIED","NO"
"FEMALE",69,"Lubuskie","RURAL AREAS",8,750,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",28,"Pomorskie","RURAL AREAS",0,1000,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",25,"Lubelskie","RURAL AREAS",0,NA,"DELIGHTED","SINGLE","NO"
"MALE",74,"Malopolskie","RURAL AREAS",16,NA,"MIXED","MARRIED","NO"
"MALE",72,"Slaskie","URBAN 200,000-500,000",10,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",83,"Zachodnio-pomorskie","RURAL AREAS",21,1358,"MIXED","MARRIED","NO"
"FEMALE",30,"Dolnoslaskie","URBAN BELOW 20,000",4,1400,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",27,"Slaskie","URBAN 200,000-500,000",0,2000,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",21,"Dolnoslaskie","RURAL AREAS",12,1000,"MIXED","SINGLE","NO"
"MALE",55,"Dolnoslaskie","RURAL AREAS",7,1400,"MIXED","SINGLE","NO"
"MALE",59,"Opolskie","URBAN BELOW 20,000",5,2500,"PLEASED","MARRIED","NO"
"FEMALE",89,"Swietokrzyskie","RURAL AREAS",16,700,"PLEASED","WIDOWED","NO"
"FEMALE",90,"Swietokrzyskie","RURAL AREAS",17,850,"MIXED","WIDOWED","NO"
"FEMALE",40,"Mazowieckie","URBAN 100,000-200,000",7,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",22,"Zachodnio-pomorskie","URBAN 20,000-100,000",3,1000,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",62,"Wielkopolskie","URBAN BELOW 20,000",9,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",82,"Wielkopolskie","URBAN 500,000 AND OVER",5,2400,"PLEASED","MARRIED","NO"
"MALE",72,"Kujawsko-pomorskie","RURAL AREAS",7,800,"MIXED","MARRIED","NO"
"MALE",47,"Warminsko-mazurskie","URBAN BELOW 20,000",NA,4000,"PLEASED","MARRIED","YES"
"FEMALE",24,"Warminsko-mazurskie","URBAN 100,000-200,000",5,1600,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",57,"Mazowieckie","URBAN 100,000-200,000",7,2800,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",65,"Opolskie","URBAN BELOW 20,000",4,1043,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",36,"Lubelskie","RURAL AREAS",3,1000,"PLEASED","MARRIED","NO"
"FEMALE",18,"Slaskie","URBAN 100,000-200,000",0,NA,"PLEASED","SINGLE",NA
"MALE",36,"Lubuskie","URBAN BELOW 20,000",1,1890,"DELIGHTED","MARRIED","NO"
"FEMALE",38,"Lubelskie","URBAN 100,000-200,000",0,1280,"TERRIBLE","SINGLE","NO"
"MALE",53,"Lodzkie","URBAN 500,000 AND OVER",1,3000,"PLEASED","MARRIED","NO"
"MALE",47,"Mazowieckie","URBAN 100,000-200,000",0,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",48,"Lodzkie","URBAN 100,000-200,000",13,1200,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",49,"Lubuskie","RURAL AREAS",3,1100,"PLEASED","MARRIED","NO"
"FEMALE",57,"Malopolskie","URBAN 100,000-200,000",9,1400,"MIXED","WIDOWED","NO"
"FEMALE",34,"Wielkopolskie","RURAL AREAS",0,1000,"PLEASED","MARRIED","NO"
"MALE",46,"Warminsko-mazurskie","RURAL AREAS",4,-8,"MIXED","MARRIED","NO"
"FEMALE",40,"Slaskie","URBAN 200,000-500,000",10,NA,"MIXED","MARRIED","NO"
"FEMALE",51,"Lubuskie","RURAL AREAS",7,-8,"MIXED","MARRIED","NO"
"FEMALE",61,"Wielkopolskie","RURAL AREAS",10,800,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",48,"Mazowieckie","RURAL AREAS",0,182,"MIXED","MARRIED","NO"
"MALE",40,"Kujawsko-pomorskie","URBAN 20,000-100,000",2,1700,"PLEASED","MARRIED","NO"
"MALE",74,"Kujawsko-pomorskie","URBAN BELOW 20,000",5,1000,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",24,"Wielkopolskie","RURAL AREAS",0,2000,"MIXED","SINGLE","NO"
"FEMALE",30,"Malopolskie","URBAN 100,000-200,000",0,700,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",22,"Pomorskie","URBAN 100,000-200,000",2,500,"MOSTLY SATISFIED","SINGLE",NA
"MALE",21,"Podkarpackie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",57,"Slaskie","URBAN 200,000-500,000",5,2200,"MOSTLY SATISFIED","DIVORCED","NO"
"FEMALE",47,"Pomorskie","RURAL AREAS",5,-8,"PLEASED","MARRIED","NO"
"FEMALE",89,"Malopolskie","RURAL AREAS",15,800,"MIXED","WIDOWED",NA
"FEMALE",38,"Warminsko-mazurskie","RURAL AREAS",0,1000,"TERRIBLE","LEGALLY SEPARATED","NO"
"MALE",60,"Malopolskie","URBAN 500,000 AND OVER",2,2800,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",65,"Zachodnio-pomorskie","URBAN 100,000-200,000",4,1600,"PLEASED","MARRIED","NO"
"MALE",44,"Malopolskie","RURAL AREAS",0,680,"PLEASED","MARRIED","NO"
"FEMALE",78,"Podlaskie","RURAL AREAS",10,900,"MIXED","WIDOWED","NO"
"MALE",54,"Malopolskie","URBAN 200,000-500,000",6,NA,"MOSTLY SATISFIED","SINGLE","YES"
"FEMALE",53,"Warminsko-mazurskie","URBAN 200,000-500,000",8,1000,"PLEASED","MARRIED","NO"
"FEMALE",18,"Podkarpackie","RURAL AREAS",3,-8,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",62,"Wielkopolskie","URBAN BELOW 20,000",9,900,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",36,"Pomorskie","RURAL AREAS",1,1650,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",29,"Wielkopolskie","URBAN 500,000 AND OVER",7,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",48,"Dolnoslaskie","RURAL AREAS",1,1000,"PLEASED","MARRIED","NO"
"FEMALE",76,"Warminsko-mazurskie","URBAN BELOW 20,000",2,1500,"PLEASED","WIDOWED","NO"
"FEMALE",72,"Lodzkie","RURAL AREAS",10,700,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",43,"Warminsko-mazurskie","RURAL AREAS",4,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",60,"Kujawsko-pomorskie","URBAN 20,000-100,000",9,800,"MIXED","MARRIED","NO"
"FEMALE",45,"Lodzkie","URBAN 100,000-200,000",8,2000,"MOSTLY DISSATISFIED","WIDOWED","NO"
"FEMALE",21,"Lubelskie","URBAN 100,000-200,000",5,NA,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",39,"Podlaskie","URBAN 20,000-100,000",1,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",52,"Slaskie","URBAN 200,000-500,000",2,3600,"PLEASED","MARRIED","NO"
"FEMALE",57,"Malopolskie","RURAL AREAS",7,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",21,"Podkarpackie","RURAL AREAS",3,1000,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",22,"Slaskie","URBAN 100,000-200,000",0,-8,"PLEASED","SINGLE",NA
"MALE",57,"Dolnoslaskie","RURAL AREAS",7,900,"PLEASED","MARRIED","NO"
"FEMALE",69,"Malopolskie","URBAN BELOW 20,000",5,700,"MIXED","WIDOWED","NO"
"MALE",67,"Podlaskie","URBAN BELOW 20,000",10,900,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",53,"Podkarpackie","RURAL AREAS",5,1200,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",96,"Malopolskie","URBAN 100,000-200,000",18,1800,"PLEASED","WIDOWED","NO"
"MALE",68,"Lodzkie","URBAN 100,000-200,000",1,2400,"PLEASED","MARRIED","NO"
"MALE",19,"Kujawsko-pomorskie","URBAN 100,000-200,000",8,NA,"MOSTLY DISSATISFIED","SINGLE",NA
"MALE",39,"Kujawsko-pomorskie","RURAL AREAS",0,2000,"PLEASED","MARRIED","NO"
"FEMALE",66,"Kujawsko-pomorskie","RURAL AREAS",7,920,"MIXED","DIVORCED","NO"
"MALE",73,"Slaskie","URBAN 200,000-500,000",NA,3000,"MIXED","SINGLE","NO"
"FEMALE",40,"Podkarpackie","RURAL AREAS",11,-8,"DELIGHTED","MARRIED","NO"
"MALE",25,"Lodzkie","URBAN 100,000-200,000",1,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",64,"Opolskie","RURAL AREAS",2,860,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",26,"Mazowieckie","RURAL AREAS",0,1000,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",20,"Kujawsko-pomorskie","RURAL AREAS",5,-8,"DELIGHTED","SINGLE",NA
"FEMALE",41,"Opolskie","URBAN 200,000-500,000",6,2400,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",37,"Malopolskie","RURAL AREAS",0,1500,"PLEASED","MARRIED","NO"
"FEMALE",32,"Mazowieckie","URBAN 500,000 AND OVER",5,2500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",56,"Warminsko-mazurskie","URBAN 200,000-500,000",5,1150,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",49,"Lodzkie","RURAL AREAS",4,1200,"PLEASED","MARRIED","NO"
"FEMALE",71,"Malopolskie","RURAL AREAS",NA,800,"PLEASED","MARRIED","NO"
"FEMALE",33,"Opolskie","RURAL AREAS",1,-8,"PLEASED","MARRIED","NO"
"MALE",36,"Kujawsko-pomorskie","URBAN 200,000-500,000",NA,900,"MIXED","SINGLE","NO"
"FEMALE",66,"Opolskie","RURAL AREAS",13,708,"UNHAPPY","DIVORCED","NO"
"FEMALE",40,"Podlaskie","RURAL AREAS",6,-8,"PLEASED","MARRIED","NO"
"MALE",59,"Lodzkie","URBAN 100,000-200,000",7,2900,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",21,"Mazowieckie","URBAN 100,000-200,000",0,1700,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",44,"Swietokrzyskie","RURAL AREAS",5,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",51,"Mazowieckie","URBAN 500,000 AND OVER",2,1185,"MOSTLY DISSATISFIED","WIDOWED","NO"
"FEMALE",47,"Lubelskie","URBAN BELOW 20,000",0,1000,"MIXED","MARRIED","NO"
"FEMALE",24,"Lubelskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",56,"Swietokrzyskie","URBAN BELOW 20,000",3,1800,"PLEASED","MARRIED","NO"
"FEMALE",66,"Slaskie","URBAN 20,000-100,000",13,736,"MIXED","MARRIED","NO"
"FEMALE",49,"Lubelskie","URBAN BELOW 20,000",0,1500,"MIXED","DIVORCED","NO"
"FEMALE",21,"Pomorskie","RURAL AREAS",3,300,"PLEASED","MARRIED",NA
"MALE",56,"Wielkopolskie","RURAL AREAS",3,2800,"PLEASED","MARRIED","NO"
"FEMALE",57,"Swietokrzyskie","RURAL AREAS",3,1030,"PLEASED","MARRIED","NO"
"MALE",36,"Kujawsko-pomorskie","RURAL AREAS",NA,-8,"PLEASED","MARRIED","NO"
"MALE",62,"Pomorskie","RURAL AREAS",10,-8,"MOSTLY SATISFIED","MARRIED",NA
"FEMALE",57,"Mazowieckie","URBAN 500,000 AND OVER",10,NA,"MIXED","WIDOWED","NO"
"FEMALE",29,"Podkarpackie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",23,"Lodzkie","URBAN 100,000-200,000",0,1100,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",29,"Dolnoslaskie","URBAN 500,000 AND OVER",0,1000,"PLEASED","SINGLE","NO"
"FEMALE",78,"Lodzkie","URBAN 500,000 AND OVER",8,800,"PLEASED","MARRIED","NO"
"MALE",20,"Warminsko-mazurskie","URBAN 100,000-200,000",0,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",65,"Podkarpackie","URBAN 100,000-200,000",3,2600,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",70,"Zachodnio-pomorskie","URBAN 20,000-100,000",6,1260,"PLEASED","WIDOWED","NO"
"MALE",54,"Mazowieckie","RURAL AREAS",0,2500,"PLEASED","MARRIED","NO"
"MALE",48,"Warminsko-mazurskie","RURAL AREAS",3,2800,"PLEASED","MARRIED","NO"
"MALE",21,"Lubelskie","RURAL AREAS",3,-8,"MIXED","SINGLE","NO"
"FEMALE",46,"Pomorskie","URBAN BELOW 20,000",2,3500,"PLEASED","MARRIED","NO"
"FEMALE",62,"Warminsko-mazurskie","URBAN 100,000-200,000",4,890,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",22,"Mazowieckie","URBAN 500,000 AND OVER",0,NA,"DELIGHTED","SINGLE","NO"
"FEMALE",58,"Kujawsko-pomorskie","URBAN 100,000-200,000",2,1800,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",44,"Podkarpackie","RURAL AREAS",4,1000,"MIXED","MARRIED","NO"
"MALE",74,"Wielkopolskie","URBAN 500,000 AND OVER",0,2000,"PLEASED","MARRIED","NO"
"MALE",22,"Opolskie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",36,"Podkarpackie","RURAL AREAS",1,1400,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",60,"Podlaskie","URBAN 20,000-100,000",6,1400,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",63,"Lodzkie","URBAN 100,000-200,000",3,1800,"MIXED","WIDOWED","NO"
"FEMALE",69,"Lubelskie","URBAN 100,000-200,000",9,1400,"MIXED","SINGLE","NO"
"MALE",51,"Lubelskie","RURAL AREAS",0,2800,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",40,"Slaskie","URBAN 20,000-100,000",2,-8,"PLEASED","MARRIED","NO"
"FEMALE",39,"Pomorskie","RURAL AREAS",11,511,"MOSTLY SATISFIED","MARRIED",NA
"FEMALE",36,"Opolskie","RURAL AREAS",0,NA,"DELIGHTED","MARRIED","NO"
"FEMALE",83,"Podkarpackie","RURAL AREAS",11,825,"PLEASED","WIDOWED","NO"
"FEMALE",35,"Mazowieckie","RURAL AREAS",3,1900,"PLEASED","MARRIED","NO"
"MALE",42,"Mazowieckie","RURAL AREAS",1,600,"PLEASED","MARRIED","NO"
"MALE",77,"Lodzkie","RURAL AREAS",0,1200,"MIXED","WIDOWED","NO"
"FEMALE",60,"Opolskie","URBAN 100,000-200,000",3,1297,"PLEASED","MARRIED","NO"
"MALE",51,"Slaskie","RURAL AREAS",4,1200,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",60,"Kujawsko-pomorskie","RURAL AREAS",5,1325,"PLEASED","MARRIED","NO"
"FEMALE",55,"Mazowieckie","URBAN 100,000-200,000",9,2500,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",50,"Slaskie","URBAN 100,000-200,000",5,NA,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",65,"Warminsko-mazurskie","URBAN BELOW 20,000",11,1270,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",56,"Warminsko-mazurskie","URBAN BELOW 20,000",11,930,"MIXED","MARRIED","NO"
"FEMALE",30,"Swietokrzyskie","RURAL AREAS",0,-8,"PLEASED","MARRIED","NO"
"FEMALE",30,"Warminsko-mazurskie","RURAL AREAS",0,1000,"PLEASED","MARRIED","NO"
"MALE",20,"Opolskie","URBAN BELOW 20,000",7,NA,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",37,"Swietokrzyskie","URBAN 100,000-200,000",1,-8,"PLEASED","MARRIED","NO"
"MALE",64,"Malopolskie","RURAL AREAS",1,-8,"MIXED","SINGLE","NO"
"MALE",75,"Dolnoslaskie","URBAN 500,000 AND OVER",5,1350,"PLEASED","MARRIED","NO"
"FEMALE",55,"Kujawsko-pomorskie","URBAN 20,000-100,000",8,1769,"MIXED","MARRIED","NO"
"FEMALE",56,"Warminsko-mazurskie","URBAN BELOW 20,000",0,-8,"PLEASED","MARRIED",NA
"FEMALE",20,"Malopolskie","URBAN 500,000 AND OVER",1,NA,"PLEASED","MARRIED",NA
"FEMALE",18,"Wielkopolskie","URBAN 500,000 AND OVER",3,-8,"PLEASED","SINGLE",NA
"FEMALE",68,"Dolnoslaskie","URBAN 500,000 AND OVER",16,1300,"MIXED","MARRIED","NO"
"FEMALE",25,"Mazowieckie","RURAL AREAS",0,-8,"PLEASED","MARRIED","NO"
"FEMALE",68,"Mazowieckie","URBAN 500,000 AND OVER",0,1127,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",66,"Pomorskie","RURAL AREAS",4,-8,"MIXED","MARRIED","NO"
"MALE",61,"Dolnoslaskie","URBAN 200,000-500,000",2,1500,"UNHAPPY","MARRIED","NO"
"FEMALE",21,"Podkarpackie","URBAN 100,000-200,000",3,500,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",22,"Wielkopolskie","URBAN 200,000-500,000",0,1000,"MIXED","SINGLE","NO"
"FEMALE",25,"Zachodnio-pomorskie","RURAL AREAS",2,NA,"MOSTLY SATISFIED","MARRIED",NA
"MALE",38,"Podkarpackie","RURAL AREAS",5,1800,"PLEASED","MARRIED","NO"
"MALE",87,"Kujawsko-pomorskie","RURAL AREAS",18,1000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",20,"Kujawsko-pomorskie","RURAL AREAS",3,-8,"PLEASED","SINGLE",NA
"FEMALE",66,"Zachodnio-pomorskie","URBAN 200,000-500,000",9,1400,"PLEASED","MARRIED","NO"
"FEMALE",23,"Swietokrzyskie","RURAL AREAS",0,1300,"PLEASED","SINGLE","YES"
"MALE",26,"Podkarpackie","URBAN 100,000-200,000",1,1500,"MIXED","SINGLE","NO"
"FEMALE",30,"Mazowieckie","URBAN 500,000 AND OVER",1,NA,"PLEASED","MARRIED","NO"
"MALE",65,"Lubelskie","RURAL AREAS",21,1876,"MIXED","MARRIED",NA
"FEMALE",68,"Warminsko-mazurskie","URBAN 100,000-200,000",10,2300,"PLEASED","WIDOWED","NO"
"FEMALE",61,"Kujawsko-pomorskie","URBAN 20,000-100,000",1,1400,"PLEASED","MARRIED","NO"
"FEMALE",74,"Kujawsko-pomorskie","URBAN 100,000-200,000",3,1180,"PLEASED","MARRIED","NO"
"FEMALE",52,"Mazowieckie","URBAN 100,000-200,000",6,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",25,"Mazowieckie","URBAN 500,000 AND OVER",11,1500,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",18,"Wielkopolskie","RURAL AREAS",1,-8,"PLEASED","SINGLE","NO"
"MALE",69,"Mazowieckie","RURAL AREAS",6,610,"PLEASED","MARRIED","NO"
"MALE",56,"Lodzkie","URBAN 500,000 AND OVER",2,2500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",38,"Pomorskie","RURAL AREAS",2,1200,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",55,"Podkarpackie","RURAL AREAS",15,560,"UNHAPPY","MARRIED","NO"
"FEMALE",26,"Opolskie","RURAL AREAS",0,1400,"PLEASED","MARRIED","NO"
"MALE",82,"Lubelskie","RURAL AREAS",12,1200,"MIXED","MARRIED","NO"
"MALE",67,"Malopolskie","RURAL AREAS",9,600,"MIXED","MARRIED","NO"
"FEMALE",50,"Mazowieckie","RURAL AREAS",13,1290,"MIXED","MARRIED","NO"
"MALE",68,"Slaskie","RURAL AREAS",9,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",52,"Lodzkie","URBAN 100,000-200,000",9,2500,"MIXED","DIVORCED","NO"
"FEMALE",46,"Lubelskie","RURAL AREAS",4,NA,"PLEASED","MARRIED","NO"
"FEMALE",30,"Pomorskie","URBAN 100,000-200,000",0,1182,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",54,"Wielkopolskie","URBAN 100,000-200,000",5,1500,"MIXED","MARRIED","NO"
"MALE",55,"Podkarpackie","RURAL AREAS",5,2500,"PLEASED","SINGLE","NO"
"MALE",30,"Podkarpackie","RURAL AREAS",0,1100,"PLEASED","SINGLE","NO"
"FEMALE",28,"Wielkopolskie","URBAN 500,000 AND OVER",2,1400,"PLEASED","MARRIED","NO"
"FEMALE",57,"Opolskie","URBAN 100,000-200,000",5,1600,"PLEASED","SINGLE","NO"
"FEMALE",43,"Lubelskie","RURAL AREAS",2,-8,"PLEASED","MARRIED","NO"
"MALE",17,"Mazowieckie","RURAL AREAS",0,NA,"MIXED","SINGLE",NA
"FEMALE",52,"Slaskie","RURAL AREAS",7,NA,"PLEASED","MARRIED","NO"
"FEMALE",69,"Slaskie","URBAN 200,000-500,000",5,1700,"PLEASED","MARRIED","NO"
"FEMALE",65,"Slaskie","URBAN 200,000-500,000",3,3000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",63,"Slaskie","URBAN 200,000-500,000",1,1800,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",42,"Mazowieckie","URBAN 100,000-200,000",1,2800,"PLEASED","MARRIED","NO"
"MALE",70,"Lodzkie","RURAL AREAS",9,1000,"MIXED","MARRIED","NO"
"FEMALE",33,"Wielkopolskie","URBAN 100,000-200,000",0,1400,"PLEASED","MARRIED","NO"
"FEMALE",30,"Kujawsko-pomorskie","RURAL AREAS",2,1000,"MIXED","SINGLE","NO"
"MALE",44,"Wielkopolskie","RURAL AREAS",4,1620,"PLEASED","MARRIED","NO"
"FEMALE",22,"Slaskie","RURAL AREAS",0,NA,"DELIGHTED","SINGLE",NA
"MALE",55,"Dolnoslaskie","RURAL AREAS",5,2000,"MIXED","DIVORCED","NO"
"MALE",34,"Warminsko-mazurskie","URBAN 200,000-500,000",6,-8,"PLEASED","MARRIED","NO"
"FEMALE",50,"Lubuskie","URBAN 200,000-500,000",6,1300,"PLEASED","MARRIED","NO"
"FEMALE",29,"Dolnoslaskie","URBAN 100,000-200,000",0,1182,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",38,"Slaskie","RURAL AREAS",2,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",32,"Zachodnio-pomorskie","RURAL AREAS",0,2400,"DELIGHTED","MARRIED","NO"
"FEMALE",55,"Wielkopolskie","URBAN BELOW 20,000",6,1200,"MIXED","MARRIED","NO"
"FEMALE",35,"Pomorskie","RURAL AREAS",10,1700,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",78,"Lodzkie","URBAN 500,000 AND OVER",10,1800,"MIXED","MARRIED","NO"
"FEMALE",70,"Dolnoslaskie","URBAN 200,000-500,000",3,1300,"MOSTLY SATISFIED","WIDOWED","NO"
